species,alpha,beta,gamma
PINU.BAN,0.00675,0.1972,1.8654
PINU.STR,0.00024,0.2056,1.8864
PINU.RES,0.000506,0.1760,1.8340
PINU.CON,0.000238,0.2293,1.8952
PICE.MAR,0.00097,0.2699,1.9431
PICE.GLA,0.000367,0.1890,1.8619
PICE.RUB,0.00014,0.2430,1.8974
PICE.ENG,0.000378,0.1240,1.7773
ABIE.BAL,0.001305,0.3532,2.0050
BETU.PAP,0.00203,0.2772,1.9611
BETU.ALL,0.00686,0.1765,1.8754
ACER.SAC,0.00207,0.2390,1.9451
POPU.SPP,0.00010,0.3175,1.9817
POPU.BAL,0.00015,0.09378,1.7360
POPU.TRE,0.00038,0.1685,1.8649
POPU.GRA,0.00020,0.3047,1.9938
FRAX.AME,0.00089,0.1634,1.8784
THUJ.OCC,0.01518,0.9485,2.2870
CEDA.SPP,0.001838,0.1316,1.7820
LARI.OCC,0.005468,0.3545,2.0540
LARI.DEC,0.02890,0.7331,2.2227
PRUN.SER,0.00271,0.1257,1.8044
FAGU.GRA,0.00020,0.1572,1.8422
TILI.AME,0.00029,0.2710,1.9887
QUER.RUB,0.002617,0.1119,1.7637